City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Matara,LK,2022-04-10 15:01:32,5.9485,80.5353,79.75,81,92,9.04
228,Praia Da Vitoria,PT,2022-04-10 15:01:32,38.7333,-27.0667,59.76,65,94,29.89
229,Quelimane,MZ,2022-04-10 15:01:32,-17.8786,36.8883,77.31,87,6,4.16
230,Mpongwe,ZM,2022-04-10 15:01:33,-13.5091,28.155,70.07,86,91,4.43
231,Sur,OM,2022-04-10 15:01:33,22.5667,59.5289,90.66,32,100,3.27
232,Ambilobe,MG,2022-04-10 15:01:33,-13.2,49.05,77.72,88,60,2.04
233,Urucui,BR,2022-04-10 15:01:33,-7.2294,-44.5561,88.2,61,100,1.41
234,North Bend,US,2022-04-10 15:01:34,43.4065,-124.2243,46.31,96,100,10.36
235,Kavakli,TR,2022-04-10 15:01:34,41.0926,28.3317,71.02,68,85,6.22
236,Menongue,AO,2022-04-10 15:01:34,-14.6585,17.691,73.4,66,93,8.14
237,Te Anau,NZ,2022-04-10 14:58:56,-45.4167,167.7167,45.95,87,7,5.23
238,Soltsy,RU,2022-04-10 15:01:35,58.1239,30.3238,43.47,67,20,11.56
239,Jalu,LY,2022-04-10 15:01:35,29.0331,21.5482,85.87,13,0,12.91
240,Aklavik,CA,2022-04-10 15:00:42,68.2191,-135.0107,-14.89,97,86,2.75
241,Carndonagh,IE,2022-04-10 15:01:36,55.25,-7.2667,47.82,74,100,15.48
242,Takoradi,GH,2022-04-10 15:01:36,4.8845,-1.7554,85.89,67,82,10.0
243,San-Pedro,CI,2022-04-10 15:01:14,4.7485,-6.6363,86.77,63,19,9.46
244,Port Blair,IN,2022-04-10 15:01:36,11.6667,92.75,82.78,70,90,1.92
245,Komsomolskiy,UZ,2022-04-10 15:01:37,40.4272,71.7189,77.16,33,100,3.96
246,Grindavik,IS,2022-04-10 15:01:37,63.8424,-22.4338,41.47,75,75,28.77
247,Naze,JP,2022-04-10 15:00:35,28.3667,129.4833,66.52,94,90,11.56
248,Tasiilaq,GL,2022-04-10 14:53:12,65.6145,-37.6368,20.61,69,57,1.01
249,Egvekinot,RU,2022-04-10 15:01:38,66.3167,-179.1667,20.62,98,100,8.16
250,Porkhov,RU,2022-04-10 15:01:38,57.765,29.5561,43.59,64,14,11.1
251,Puro,PH,2022-04-10 15:01:38,12.4841,123.3827,78.03,88,100,11.23
252,Hasaki,JP,2022-04-10 14:57:49,35.7333,140.8333,55.8,83,8,12.59
253,Champerico,GT,2022-04-10 15:01:39,14.3,-91.9167,85.71,60,12,4.21
254,Saint Anthony,US,2022-04-10 15:01:39,45.0205,-93.218,48.47,45,75,16.11
255,Gopalpur,IN,2022-04-10 15:01:39,19.2667,84.9167,81.28,79,48,20.18
256,Verkhnyaya Sinyachikha,RU,2022-04-10 15:01:40,57.976,61.6673,38.01,95,100,7.65
257,Nauta,PE,2022-04-10 15:01:40,-4.5061,-73.5757,77.0,92,100,2.21
258,La Palma,US,2022-04-10 15:01:40,33.8464,-118.0467,64.49,79,100,5.01
259,Karaton,ID,2022-04-10 15:01:41,-6.3424,106.1045,76.03,87,100,4.59
